Data,Crude_Oil_NYMEX,SMR_20_US,Rate,Butadiene
11/14/2015,124.3,45.06,32.9,750
11/21/2015,122,45.04,32.77,720
11/28/2015,123.5,45.53,32.81,705
12/5/2015,127,43.58,32.82,700
12/12/2015,127.9,40,32.96,715
12/19/2015,123,35.09,33.11,775
12/26/2015,123,36.14,33,770
12/31/2015,117.5,35.75,33.06,770
1/2/2016,117.5,35.75,33.23,770
1/9/2016,112.5,32.06,33.65,765
1/16/2016,128.5,28.04,33.81,760
1/23/2016,127.3,30.92,33.62,790
1/30/2016,122.5,33.21,33.6,784.29
2/6/2016,123,33.75,33.52,782.86
2/13/2016,124.3,32.31,33.42,815
2/20/2016,127,32.49,33.56,823.57
2/27/2016,128.9,34.74,33.43,845
3/5/2016,148,38.46,33.1,985
3/12/2016,140,39.44,32.95,1080
3/19/2016,148.5,40.54,32.52,1120
3/26/2016,149.5,39.54,32.76,1094
4/2/2016,154.2,37.81,32.37,1081
4/9/2016,163.5,41.06,32.45,1044
4/16/2016,169.3,41.94,32.34,1012
4/23/2016,179.4,44.01,32.33,1050
